company,year,quarter,metric,sub-metric,value
UMC,2001,1,rev,,650.6190034045187
UMC,2001,2,rev,,639.1456369717239
UMC,2001,3,rev,,399.6230215827338
UMC,2001,4,rev,,402.5188405797101
UMC,2002,1,rev,,494.7008302318924
UMC,2002,2,rev,,498.41072973752523
UMC,2002,3,rev,,608.8438617401669
UMC,2002,4,rev,,588.8414985590778
UMC,2003,1,rev,,636.1008645533141
UMC,2003,2,rev,,633.3629842180775
UMC,2003,3,rev,,749.5042884140137
UMC,2003,4,rev,,759.7760094311818
UMC,2005,1,rev,,728.6974326665617
UMC,2005,2,rev,,740.47695262484
UMC,2005,3,rev,,847.9887041104487
UMC,2005,4,rev,,805.4780639008108
UMC,2006,1,rev,,844.2575279071949
UMC,2006,2,rev,,846.2686099357468
UMC,2006,3,rev,,885.6562633604104
UMC,2006,4,rev,,874.2034664657123
UMC,2007,1,rev,,779.8098824672761
UMC,2007,2,rev,,770.7047664785688
UMC,2007,3,rev,,945.7161144807828
UMC,2007,4,rev,,954.7677110665226
UMC,2008,1,rev,,781.6011192289757
UMC,2008,2,rev,,873.4039055822211
UMC,2008,3,rev,,819.3823250954915
UMC,2008,4,rev,,606.5696528725178
UMC,2009,1,rev,,331.38666666666666
UMC,2009,2,rev,,691.8452470908267
UMC,2009,3,rev,,864.0140201158183
UMC,2009,4,rev,,887.3487517230816
UMC,2010,1,rev,,855.2416705771938
UMC,2010,2,rev,,977.439744612929
UMC,2010,3,rev,,1065.718309859155
UMC,2010,4,rev,,1125.3529411764707
UMC,2011,1,rev,,1073.568722011712
UMC,2011,2,rev,,1104.9564004185559
UMC,2011,3,rev,,962.9373051610668
UMC,2011,4,rev,,870.6314734380221
UMC,2012,1,rev,,887.0302211717036
UMC,2012,2,rev,,1042.818400274631
UMC,2012,3,rev,,1007.8359330638965
UMC,2012,4,rev,,988.164383561644
UMC,2013,1,rev,,940.7856417202845
UMC,2013,2,rev,,1082.4692949718396
UMC,2013,3,rev,,1114.1170585292648
UMC,2013,4,rev,,1044.1434398368456
UMC,2014,1,rev,,1045.3034300791555
UMC,2014,2,rev,,1189.6981757877281
UMC,2014,3,rev,,1171.4927309624406
UMC,2014,4,rev,,1223.637857377588
UMC,2015,1,rev,,1186.5616136148753
UMC,2015,2,rev,,1241.8033322443646
UMC,2015,3,rev,,1116.2315909234562
UMC,2015,4,rev,,1043.5428677127973
UMC,2016,1,rev,,1027.5094824239166
UMC,2016,2,rev,,1145.8991513349438
UMC,2016,3,rev,,1199.434282481614
UMC,2016,4,rev,,1215.4043849351144
UMC,2017,1,rev,,1200.7573326487388
UMC,2017,2,rev,,1244.7491461352256
UMC,2017,3,rev,,1248.3261035133612
UMC,2017,4,rev,,1214.8277120021226
UMC,2018,1,rev,,1285.8646822811288
UMC,2018,2,rev,,1311.534955946393
UMC,2018,3,rev,,1288.4945040565296
UMC,2018,4,rev,,1148.2348377085218
UMC,2019,1,rev,,1061.7505213764339
UMC,2019,2,rev,,1166.3224678729807
UMC,2019,3,rev,,1211.3500674070747
UMC,2019,4,rev,,1373.0920664085568
UMC,2020,1,rev,,1392.862321228498
UMC,2020,2,rev,,1490.6736969371307
UMC,2020,3,rev,,1529.4849507447932
UMC,2020,4,rev,,1584.6767422334174
UMC,2021,1,rev,,1681.9756437270096
UMC,2021,2,rev,,1828.1871723048193
UMC,2021,3,rev,,2001.6720372359468
UMC,2021,4,rev,,2124.2038674430305
UMC,2001,3,inv,,164.52374100719425
UMC,2001,4,inv,,165.7159420289855
UMC,2002,1,inv,,227.7011165187518
UMC,2002,2,inv,,229.40871070089415
UMC,2002,3,inv,,251.48986889153753
UMC,2002,4,inv,,243.22766570605185
UMC,2003,1,inv,,240.85590778097983
UMC,2003,2,inv,,239.81922525107606
UMC,2003,3,inv,,243.35513882831808
UMC,2003,4,inv,,246.69024462127913
UMC,2005,1,inv,,267.1034808631281
UMC,2005,2,inv,,271.4212548015365
UMC,2005,3,inv,,336.131157828679
UMC,2005,4,inv,,319.28051979017647
UMC,2006,1,inv,,347.13110909602574
UMC,2006,2,inv,,347.9580003134305
UMC,2006,3,inv,,332.19935259268306
UMC,2006,4,inv,,327.90354182366247
UMC,2007,1,inv,,348.8018951012847
UMC,2007,2,inv,,344.7292592147917
UMC,2007,3,inv,,331.9211192050962
UMC,2007,4,inv,,366.3466584349436
UMC,2008,1,inv,,359.5243276853723
UMC,2008,2,inv,,418.2260503649155
UMC,2008,3,inv,,397.66902810877866
UMC,2008,4,inv,,246.0997423071093
UMC,2009,1,inv,,216.54222222222222
UMC,2009,2,inv,,268.55070273537854
UMC,2009,3,inv,,268.4638829625114
UMC,2009,4,inv,,280.02450604993106
UMC,2010,1,inv,,306.16924761457847
UMC,2010,2,inv,,344.4948124501197
UMC,2010,3,inv,,358.24413145539904
UMC,2010,4,inv,,425.9019607843137
UMC,2011,1,inv,,486.19014812263174
UMC,2011,2,inv,,481.5870247645623
UMC,2011,3,inv,,515.1783858676828
UMC,2011,4,inv,,424.6341463414634
UMC,2012,1,inv,,423.4847205807868
UMC,2012,2,inv,,471.1019567456231
UMC,2012,3,inv,,450.29560105547944
UMC,2012,4,inv,,446.01712328767127
UMC,2013,1,inv,,481.7812394175415
UMC,2013,2,inv,,486.1980050213748
UMC,2013,3,inv,,472.58629314657327
UMC,2013,4,inv,,475.6390210740992
UMC,2014,1,inv,,475.6398416886543
UMC,2014,2,inv,,459.167495854063
UMC,2014,3,inv,,476.0637413087594
UMC,2014,4,inv,,500.89385474860336
UMC,2015,1,inv,,492.95304128584934
UMC,2015,2,inv,,524.1783730806926
UMC,2015,3,inv,,523.3645155173504
UMC,2015,4,inv,,543.8665721244259
UMC,2016,1,inv,,472.94447928799696
UMC,2016,2,inv,,544.9018150281856
UMC,2016,3,inv,,539.5247972845558
UMC,2016,4,inv,,539.3216359425072
UMC,2017,1,inv,,521.8374943841859
UMC,2017,2,inv,,539.9907152568227
UMC,2017,3,inv,,566.3200768237358
UMC,2017,4,inv,,605.4953072662754
UMC,2018,1,inv,,587.685607489455
UMC,2018,2,inv,,596.040239003477
UMC,2018,3,inv,,575.3925673907353
UMC,2018,4,inv,,588.4876503297555
UMC,2019,1,inv,,615.0188998957248
UMC,2019,2,inv,,635.3996050885314
UMC,2019,3,inv,,641.6415227579123
UMC,2019,4,inv,,712.474571822298
UMC,2020,1,inv,,729.114216041653
UMC,2020,2,inv,,783.9199355185384
UMC,2020,3,inv,,779.3366738248628
UMC,2020,4,inv,,788.9903442485306
UMC,2021,1,inv,,793.7359380022142
UMC,2021,2,inv,,805.8248940601882
UMC,2021,3,inv,,828.8471177944863
UMC,2021,4,inv,,827.0864783265042
UMC,2001,1,capex,,435.2677189724543
UMC,2001,2,capex,,427.59197324414714
UMC,2001,3,capex,,214.73093525179854
UMC,2001,4,capex,,216.2869565217391
UMC,2002,1,capex,,197.73260807328944
UMC,2002,2,capex,,199.2154600519181
UMC,2002,3,capex,,330.21752085816445
UMC,2002,4,capex,,319.3688760806916
UMC,2003,1,capex,,171.53602305475502
UMC,2003,2,capex,,170.7977044476327
UMC,2003,3,capex,,187.74531181857827
UMC,2003,4,capex,,190.31830238726792
UMC,2005,1,capex,,171.5199243975429
UMC,2005,2,capex,,174.29257362355955
UMC,2005,3,capex,,176.85911515531848
UMC,2005,4,capex,,167.99296614210778
UMC,2006,1,capex,,176.09518151402395
UMC,2006,2,capex,,176.5146528757248
UMC,2006,3,capex,,335.5615953093507
UMC,2006,4,capex,,331.22230595327807
UMC,2007,1,capex,,327.85252224618097
UMC,2007,2,capex,,324.02449273622284
UMC,2007,3,capex,,118.16879514767291
UMC,2007,4,capex,,84.58095385090292
UMC,2008,1,capex,,178.50458572983058
UMC,2008,2,capex,,82.09612729305016
UMC,2008,3,capex,,58.34285527733342
UMC,2008,4,capex,,45.129604365620736
UMC,2009,1,capex,,46.56888888888889
UMC,2009,2,capex,,37.971890584857185
UMC,2009,3,capex,,140.05181347150258
UMC,2009,4,capex,,312.2928472966763
UMC,2010,1,capex,,313.9996871578289
UMC,2010,2,capex,,299.8435754189944
UMC,2010,3,capex,,636.6071987480437
UMC,2010,4,capex,,704.3660130718954
UMC,2011,1,capex,,540.5511539786428
UMC,2011,2,capex,,430.94175095919076
UMC,2011,3,capex,,418.5071007966747
UMC,2011,4,capex,,440.9121282993652
UMC,2012,1,capex,,338.60881310146885
UMC,2012,2,capex,,607.6347408170271
UMC,2012,3,capex,,401.38949196699957
UMC,2012,4,capex,,426.04109589041093
UMC,2013,1,capex,,243.21706738909583
UMC,2013,2,capex,,270.19067652846576
UMC,2013,3,capex,,333.99366349841586
UMC,2013,4,capex,,263.45343303874915
UMC,2014,1,capex,,207.01187335092348
UMC,2014,2,capex,,261.5223880597015
UMC,2014,3,capex,,428.0648058817659
UMC,2014,4,capex,,532.6454157081827
UMC,2015,1,capex,,469.35707532303815
UMC,2015,2,capex,,393.1362299901993
UMC,2015,3,capex,,639.2484672271032
UMC,2015,4,capex,,411.5793692388322
UMC,2016,1,capex,,611.8657229041603
UMC,2016,2,capex,,907.7123211299015
UMC,2016,3,capex,,624.2441385379345
UMC,2016,4,capex,,695.0217343021227
UMC,2017,1,capex,,566.5329568063668
UMC,2017,2,capex,,276.3040090194648
UMC,2017,3,capex,,241.33911718931088
UMC,2017,4,capex,,363.5193844725235
UMC,2018,1,capex,,196.02551352834266
UMC,2018,2,capex,,131.67808797218376
UMC,2018,3,capex,,183.59722585710546
UMC,2018,4,capex,,140.98344756239493
UMC,2019,1,capex,,181.27606882168928
UMC,2019,2,capex,,126.36519599909364
UMC,2019,3,capex,,113.95647428901584
UMC,2019,4,capex,,114.886147384999
UMC,2020,1,capex,,119.66980821195544
UMC,2020,2,capex,,143.3772165502418
UMC,2020,3,capex,,228.6157412141664
UMC,2020,4,capex,,410.6388189196754
UMC,2021,1,capex,,262.55848005428373
UMC,2021,2,capex,,305.95417654241186
UMC,2021,3,capex,,625.0125313283207
UMC,2021,4,capex,,528.5924807706132
SMIC,2003,1,rev,,56.8
SMIC,2003,2,rev,,56.8
SMIC,2003,3,rev,,126.1
SMIC,2003,4,rev,,126.1
SMIC,2004,1,rev,,186.9
SMIC,2004,2,rev,,221.0
SMIC,2004,3,rev,,274.9
SMIC,2004,4,rev,,291.8
SMIC,2005,1,rev,,248.8
SMIC,2005,2,rev,,279.5
SMIC,2005,3,rev,,310.0
SMIC,2005,4,rev,,333.1
SMIC,2006,1,rev,,351.1
SMIC,2006,2,rev,,361.4
SMIC,2006,3,rev,,368.9
SMIC,2006,4,rev,,383.8
SMIC,2007,1,rev,,388.3
SMIC,2007,2,rev,,374.8
SMIC,2007,3,rev,,391.4
SMIC,2007,4,rev,,395.3
SMIC,2008,1,rev,,362.4
SMIC,2008,2,rev,,342.9
SMIC,2008,3,rev,,375.9
SMIC,2008,4,rev,,272.5
SMIC,2009,1,rev,,146.5
SMIC,2009,2,rev,,267.4
SMIC,2009,3,rev,,323.4
SMIC,2009,4,rev,,333.1
SMIC,2010,1,rev,,351.7
SMIC,2010,2,rev,,381.1
SMIC,2010,3,rev,,410.1
SMIC,2010,4,rev,,411.8
SMIC,2011,1,rev,,370.6
SMIC,2011,2,rev,,352.4
SMIC,2011,3,rev,,306.9
SMIC,2011,4,rev,,289.6
SMIC,2012,1,rev,,332.7
SMIC,2012,2,rev,,421.8
SMIC,2012,3,rev,,461.2
SMIC,2012,4,rev,,485.9
SMIC,2013,1,rev,,501.6
SMIC,2013,2,rev,,541.3
SMIC,2013,3,rev,,534.3
SMIC,2013,4,rev,,491.8
SMIC,2014,1,rev,,451.1
SMIC,2014,2,rev,,511.3
SMIC,2014,3,rev,,521.6
SMIC,2014,4,rev,,485.9
SMIC,2015,1,rev,,509.8
SMIC,2015,2,rev,,546.6
SMIC,2015,3,rev,,569.9
SMIC,2015,4,rev,,610.1
SMIC,2016,1,rev,,634.3
SMIC,2016,2,rev,,690.2
SMIC,2016,3,rev,,774.8
SMIC,2016,4,rev,,814.8
SMIC,2017,1,rev,,793.1
SMIC,2017,2,rev,,751.2
SMIC,2017,3,rev,,769.7
SMIC,2017,4,rev,,787.2
SMIC,2018,1,rev,,831.0
SMIC,2018,2,rev,,890.7
SMIC,2018,3,rev,,850.7
SMIC,2018,4,rev,,787.6
SMIC,2019,1,rev,,668.9
SMIC,2019,2,rev,,790.9
SMIC,2019,3,rev,,816.5
SMIC,2019,4,rev,,839.4
SMIC,2020,1,rev,,904.9
SMIC,2020,2,rev,,938.5
SMIC,2020,3,rev,,1082.5
SMIC,2020,4,rev,,981.1
SMIC,2021,1,rev,,1103.6
SMIC,2021,2,rev,,1344.1
SMIC,2021,3,rev,,1415.3
SMIC,2021,4,rev,,1580.1
SMIC,2003,1,inv,,69.9
SMIC,2003,2,inv,,69.9
SMIC,2003,3,inv,,69.9
SMIC,2003,4,inv,,69.9
SMIC,2004,1,inv,,85.5
SMIC,2004,2,inv,,113.6
SMIC,2004,3,inv,,134.8
SMIC,2004,4,inv,,144.0
SMIC,2005,1,inv,,174.5
SMIC,2005,2,inv,,176.5
SMIC,2005,3,inv,,182.9
SMIC,2005,4,inv,,191.2
SMIC,2006,1,inv,,196.6
SMIC,2006,2,inv,,217.6
SMIC,2006,3,inv,,244.0
SMIC,2006,4,inv,,275.2
SMIC,2007,1,inv,,237.6
SMIC,2007,2,inv,,238.0
SMIC,2007,3,inv,,254.9
SMIC,2007,4,inv,,248.3
SMIC,2008,1,inv,,216.2
