company,year,quarter,metric,sub-metric,value
UMC,2001,1,rev,,"21,021.5"
UMC,2001,2,rev,,"21,021.5"
UMC,2001,3,rev,,"13,886.9"
UMC,2001,4,rev,,"13,886.9"
UMC,2002,1,rev,,"17,279.9"
UMC,2002,2,rev,,"17,279.9"
UMC,2002,3,rev,,"20,432.8"
UMC,2002,4,rev,,"20,432.8"
UMC,2003,1,rev,,"22,072.7"
UMC,2003,2,rev,,"22,072.7"
UMC,2003,3,rev,,"25,779.2"
UMC,2003,4,rev,,"25,779.2"
UMC,2005,1,rev,,"23,132.5"
UMC,2005,2,rev,,"23,132.5"
UMC,2005,3,rev,,"27,025.4"
UMC,2005,4,rev,,"27,025.4"
UMC,2006,1,rev,,"27,000.2"
UMC,2006,2,rev,,"27,000.2"
UMC,2006,3,rev,,"29,001.7"
UMC,2006,4,rev,,"29,001.7"
UMC,2007,1,rev,,"25,676.8"
UMC,2007,2,rev,,"25,676.8"
UMC,2007,3,rev,,"31,028.0"
UMC,2007,4,rev,,"30,929.7"
UMC,2008,1,rev,,"25,140.2"
UMC,2008,2,rev,,"26,567.2"
UMC,2008,3,rev,,"25,098.5"
UMC,2008,4,rev,,"20,007.7"
UMC,2009,1,rev,,"11,184.3"
UMC,2009,2,rev,,"22,889.7"
UMC,2009,3,rev,,"28,348.3"
UMC,2009,4,rev,,"28,967.5"
UMC,2010,1,rev,,"27,337.8"
UMC,2010,2,rev,,"30,618.3"
UMC,2010,3,rev,,"34,049.7"
UMC,2010,4,rev,,"34,435.8"
UMC,2011,1,rev,,"31,165.7"
UMC,2011,2,rev,,"31,679.1"
UMC,2011,3,rev,,"27,800.0"
UMC,2011,4,rev,,"26,058.0"
UMC,2012,1,rev,,"26,269.4"
UMC,2012,2,rev,,"30,377.3"
UMC,2012,3,rev,,"30,173.6"
UMC,2012,4,rev,,"28,854.4"
UMC,2013,1,rev,,"27,781.4"
UMC,2013,2,rev,,"31,904.7"
UMC,2013,3,rev,,"33,406.8"
UMC,2013,4,rev,,"30,718.7"
UMC,2014,1,rev,,"31,693.6"
UMC,2014,2,rev,,"35,869.4"
UMC,2014,3,rev,,"35,213.9"
UMC,2014,4,rev,,"37,235.3"
UMC,2015,1,rev,,"37,649.6"
UMC,2015,2,rev,,"38,011.6"
UMC,2015,3,rev,,"35,319.8"
UMC,2015,4,rev,,"33,849.4"
UMC,2016,1,rev,,"34,404.1"
UMC,2016,2,rev,,"36,996.5"
UMC,2016,3,rev,,"38,163.6"
UMC,2016,4,rev,,"38,305.9"
UMC,2017,1,rev,,"37,418.0"
UMC,2017,2,rev,,"37,537.9"
UMC,2017,3,rev,,"37,698.2"
UMC,2017,4,rev,,"36,630.7"
UMC,2018,1,rev,,"37,497.1"
UMC,2018,2,rev,,"38,851.6"
UMC,2018,3,rev,,"39,386.7"
UMC,2018,4,rev,,"35,517.2"
UMC,2019,1,rev,,"32,583.0"
UMC,2019,2,rev,,"36,031.2"
UMC,2019,3,rev,,"37,738.4"
UMC,2019,4,rev,,"41,849.1"
UMC,2020,1,rev,,"42,267.8"
UMC,2020,2,rev,,"44,386.3"
UMC,2020,3,rev,,"44,870.5"
UMC,2020,4,rev,,"45,296.4"
UMC,2021,1,rev,,"47,097.0"
UMC,2021,2,rev,,"50,907.7"
UMC,2021,3,rev,,"55,906.7"
UMC,2021,4,rev,,"59,099.6"
UMC,2001,3,inv,,"5,717.2"
UMC,2001,4,inv,,"5,717.2"
UMC,2002,1,inv,,"7,953.6"
UMC,2002,2,inv,,"7,953.6"
UMC,2002,3,inv,,"8,440.0"
UMC,2002,4,inv,,"8,440.0"
UMC,2003,1,inv,,"8,357.7"
UMC,2003,2,inv,,"8,357.7"
UMC,2003,3,inv,,"8,370.2"
UMC,2003,4,inv,,"8,370.2"
UMC,2005,1,inv,,"8,479.2"
UMC,2005,2,inv,,"8,479.2"
UMC,2005,3,inv,,"10,712.5"
UMC,2005,4,inv,,"10,712.5"
