year,quarter,url
2004,1,https://smic.shwebspace.com/uploads/qe/201101261833457_en.pdf
2004,2,https://smic.shwebspace.com/uploads/qe/201101261843297_en.pdf
2004,3,https://smic.shwebspace.com/uploads/qe/201101261848107_en.pdf
2004,4,https://smic.shwebspace.com/uploads/qe/201101271517168_en.pdf
2005,1,https://smic.shwebspace.com/uploads/qe/201101271532437_en.pdf
2005,2,https://smic.shwebspace.com/uploads/qe/201101271535438_en.pdf
2005,3,https://smic.shwebspace.com/uploads/qe/201101271540338_en.pdf
2005,4,https://smic.shwebspace.com/uploads/qe/201101271545318_en.pdf
2006,1,https://smic.shwebspace.com/uploads/qe/201101271554088_en.pdf
2006,2,https://smic.shwebspace.com/uploads/qe/201101271556328_en.pdf
2006,3,https://smic.shwebspace.com/uploads/qe/201101271608178_en.pdf
2006,4,https://smic.shwebspace.com/uploads/qe/201101271636548_en.pdf
2007,1,https://smic.shwebspace.com/uploads/qe/201101271640188_en.pdf
2007,2,https://smic.shwebspace.com/uploads/qe/201101271644058_en.pdf
2007,3,https://smic.shwebspace.com/uploads/qe/201101271647358_en.pdf
2007,4,https://smic.shwebspace.com/uploads/qe/201101271650418_en.pdf
2008,1,https://smic.shwebspace.com/uploads/qe/201101271720548_en.pdf
2008,2,https://smic.shwebspace.com/uploads/qe/201101271723318_en.pdf
2008,3,https://smic.shwebspace.com/uploads/qe/201101271733158_en.pdf
2008,4,https://smic.shwebspace.com/uploads/qe/201101271737268_en.pdf
2009,1,https://smic.shwebspace.com/uploads/qe/201101271741048_en.pdf
2009,2,https://smic.shwebspace.com/uploads/qe/201101271745478_en.pdf
2009,3,https://smic.shwebspace.com/uploads/qe/201101271758578_en.pdf
2009,4,https://smic.shwebspace.com/uploads/qe/201101271804278_en.pdf
2010,1,https://smic.shwebspace.com/uploads/qe/201101271809418_en.pdf
2010,2,https://smic.shwebspace.com/uploads/qe/201101271813248_en.pdf
2010,3,NA
2010,4,https://smic.shwebspace.com/uploads/qe/201104121733138_en.pdf
2011,1,https://smic.shwebspace.com/uploads/qe/201105192039498_en.pdf
2011,2,https://smic.shwebspace.com/uploads/qe/201108111002028_en.pdf
2011,3,NA
2011,4,https://smic.shwebspace.com/uploads/qe/201202082311388_en.pdf
2012,1,https://smic.shwebspace.com/uploads/qe/201205101924068_en.pdf
2012,2,https://smic.shwebspace.com/uploads/qe/201208090828548_en.pdf
2012,3,https://smic.shwebspace.com/uploads/qe/201211052027038_en.pdf
2012,4,https://smic.shwebspace.com/uploads/qe/201302062033068_en.pdf
2013,1,https://smic.shwebspace.com/uploads/qe/201304241907378_en.pdf
2013,2,https://smic.shwebspace.com/uploads/qe/201308081922548_en.pdf
2013,3,https://smic.shwebspace.com/uploads/qe/201310222051448_en.pdf
2013,4,https://smic.shwebspace.com/uploads/qe/201402172137169_en.pdf
2014,1,https://smic.shwebspace.com/uploads/qe/201404282118159_en.pdf
2014,2,https://smic.shwebspace.com/uploads/qe/201408061940499_en.pdf
2014,3,https://smic.shwebspace.com/uploads/qe/201411051854279_en.pdf
2014,4,https://smic.shwebspace.com/uploads/qe/201502092058369_en.pdf
2015,1,https://smic.shwebspace.com/uploads/qe/201505072012259_en.pdf
2015,2,https://smic.shwebspace.com/uploads/qe/20150811183202915028418_en.pdf
