year,quarter,url
2000,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2000/Q1_2000/UMC00Q1_E.pdf
2001,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2001/Q1_2001/UMC01Q1_rep_E.pdf
2002,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2002/Q1_2002/02Q1_report.pdf
2003,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2003/Q1_2003/UMC03Q1_report.pdf
2004,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2004/Q1_2004/UMC04Q1_report.pdf
2005,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2005/Q1_2005/UMC05Q1_report.pdf
2006,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2006/Q1_2006/UMC06Q1_report.pdf
2007,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2007/Q1_2007/UMC07Q1_report.pdf
2008,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2008/Q1_2008/UMC08Q1_report.pdf
2009,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2009/Q1_2009/UMC09Q1_report.pdf
2010,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2010/Q1_2010/UMC10Q1_report.pdf
2011,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2011/Q1_2011/UMC11Q1_report.pdf
2012,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2012/Q1_2012/UMC12Q1_report.pdf
2013,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2013/Q1_2013/UMC13Q1_report.pdf
2014,1,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2010-2019_English_pdf/2014/Q1_2014/UMC14Q1_report.pdf
